#id,AGE,AGE (한글),MURDER TOOL,MURDER TOOL (한글),CLOTHE,CLOTHE (한글),SHOES,SHOES (한글),HEADWEAR,HEADWEAR (한글),ACCESSORY,ACCESSORY (한글),JOB,JOB (한글),TIME,TIME (한글),PLACE,PLACE (한글),SOUND,SOUND (한글),TRACE,TRACE (한글)
10,60s,"60대 중반",White Silk Curtain,"하얀색 실크 커튼",Black Tshirt,"검은색 무지 반팔",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Millitary Backpack,"군용 밀리터리 백팩",Mechanic,"정비공",Deep Dawn,"손가락 튕기는 소리",Karaoke Underground,"오전 3시",Finger Snap,"지하 1층의 노래방",Irregular Footprints,"알 수 없는 패턴의 발자국"
11,30s,"30대 중반",Sharp Edged Stone,"1kg 정도의 뾰족한 돌",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",Red Football Boots,"빨간색/검은색 배색의 축구화",Matilda Bob,"검은색 칼단발",Black Disposable Mask,"검정색 일회용 마스크",Lawyer,"변호사",Night,"불규칙한 발걸음 소리",Officetel Management Office,"오후 6시",Irregular Walking Sound,"오피스텔 관리실",Arson Attempt,"방화 시도의 흔적"
12,40s,"40대 후반",Fishing Wire,"낚싯줄",Long Sleeve Tshirt,"소매가 매우 긴 기장의 청록색 티셔츠",White Basketball Shoes,"흰색 농구화",Pomade Hair,"잘 정돈된 포마드 머리",Tennis Wristband,"스포츠 손목 보호대",Firefighter,"소방관",Deep Dawn,"변기 물 내리는 소리",Haunted House,"오전 3시",Toilet Flush Sound,"귀신이 들렸다고 소문난 버려진 폐가",Light Brown Hair,"밝은 갈색의 머리카락"
13,30s,"30대 중반",Wrapped Blowfish Sashimi,"포장된 복어회",Khaki Tshirt,"카키색 무지 맨투맨",Black Leather Loafer,"검은색 무광 가죽 로퍼",Cherry Red Hair,"체리 레드 염색머리",Electronics Anklet,"전자 발찌",Professor,"교수",Around Midnight,"휘파람 소리",Messy Dumpster Alley,"밤 12시",Whistle,"원룸촌의 더러운 분리수거장",Crumpled Cigarette Package,"구겨진 담배갑"
14,20s,"20대 초반",Expandable Nightstick,"검은색 호신용 삼단 곤봉",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Knee High Wellies,"무릎까지 오는 고무 장화",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Black Backpack,"검은색 백팩",Hotel Receptionist,"호텔 접수원",Deep Dawn,"종이컵을 잘근잘근 씹는 소리",Haunted House,"오전 3시",Chewing Paper Cup,"귀신이 들렸다고 소문난 버려진 폐가",Fly,"파리 시체 한 마리"
15,30s,"30대 중반",Tetrodotoxin Powder,"테트로도톡신 가루",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Black Leather Loafer,"검은색 무광 가죽 로퍼",Short Hair,"숏컷",Millitary Backpack,"군용 밀리터리 백팩",Cleaner,"청소부",Deep Dawn,"강아지 짖는 소리",Messy Club,"오전 3시",Dog Barking,"사람이 너무 많았던 지저분한 클럽",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
16,40s,"40대 후반",Shinai,"연습용 죽도",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Red Converse,"빨간색 컨버스 운동화",High Ponytail,"장발을 높게 묶은 포니테일",Leg Prosthetics,"의족",Model,"모델",Night,"플라스틱이 서로 부딪치는 소리",Messy Goshiwon,"오후 6시",Plastic Beating Sound,"관리가 되지 않아 더러운 고시원",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
17,30s,"30대 중반",Shinai,"연습용 죽도",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Chess Patteren loafer,"체스판 무늬의 슬립온",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Nurse,"간호사",Late Night,"신음 참는 소리",Subway Station Entrance,"오후 9시",Bearing Groaning,"유동인구가 많은 지하철 역 입구",Black Hair,"검정색 머리카락"
18,40s,"40대 후반",Piano Wire,"피아노줄",Ivy League Hoodie,"해외 대학교 로고와 이름이 수놓아진 붉은색 후드 티셔츠",Red Football Boots,"빨간색/검은색 배색의 축구화",Long Curly Hair,"장발의 곱슬머리",Black Backpack,"검은색 백팩",Mart Cashier,"마트 직원",Early Morning,"피 토하는 소리",Old Guest House,"오전 6시",Throw Up Blood,"계곡가에 위치한, 노인이 운영하는 민박",Fingerprints,"지문 몇 점"
19,40s,"40대 후반",Fishing Wire,"낚싯줄",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Knee High Wellies,"무릎까지 오는 고무 장화",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Black Disposable Mask,"검정색 일회용 마스크",Police Officer,"경찰",Morning,"삽으로 흙을 파는 소리",Custom Camping Car,"오전 9시",Digging With Shovel,"H사의 커스텀 캠핑카",Scorch Mark,"불에 그슬린 자국"
20,20s,"20대 초반",Mercury,"수은",Yellow Short Cardigan,"노란색 짧은 니트 가디건",Bare Foot,"그냥 맨발",Comma Hairstyle,"검은색 쉼표 머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Banker,"은행원",Morning,"키보드 소리",Lonesome Bus Station,"오전 9시",Keyboard Sound,"인적 드문 시골의 유일한 버스 정류장",Black Wig Hair,"검정색 가발용 머리카락"
21,50s,"50대 초반",Sport Towel,"파란색 스포츠 수건",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",Black Converse,"검은색 컨버스 운동화",Long Blonde hair,"장발의 금발 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Hotel Receptionist,"호텔 접수원",Around Midnight,"고양이 우는 소리",SUV Back Seats,"밤 12시",Cat Meow,"검은색 SUV 차량 뒷좌석",Maggot,"이제 막 태어난 작은 구더기"
22,30s,"30대 중반",Wooden Handle Hatchet,"나무 손잡이가 달린 캠핑용 도끼",Jersey Zip Hoodie,"저지 소재 트레이닝복",White Platform Sneakers,"키높이 흰색 스니커즈",Long Brown hair,"장발의 밝은 갈색 염색머리",Stud Earrings,"귀에 딱 붙는 귀걸이",Guard,"경호원",Night,"선풍기 소리",Office,"오후 6시",Electric Fan Sound,"중소 기업 사옥의 7층 사무실",Black Wig Hair,"검정색 가발용 머리카락"
23,20s,"20대 초반",Sharp Edged Stone,"1kg 정도의 뾰족한 돌",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Ivory Converse,"아이보리색 컨버스 운동화",Long Hippie Perm,"장발의 밝은 갈색 히피펌",Chocker Necklace,"초커",Chef,"요리사",Late Night,"자동차 브레이크 소리",Motel in Backstreet,"오후 9시",Skid Sounds,"모텔촌에 위치한 낡은 모텔",Weapon With Fingerprint,"알 수 없는 지문이 묻어 있었던 그 흉기"
24,30s,"30대 중반",Wodden Handle Shovel,"손때 묻은 나무 손잡이 삽",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",White Stained Boots,"흰색의 얼룩진 8홀 가죽 워커",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Tennis Wristband,"스포츠 손목 보호대",Cleaner,"청소부",Deep Dawn,"TV 속 스포츠 방송 중계 소리",Karaoke Underground,"오전 3시",TV Sports Commentaries,"지하 1층의 노래방",Metal Fragments,"금속 파편"
25,40s,"40대 후반",Duct Tape,"청테이프",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Chess Patteren loafer,"체스판 무늬의 슬립온",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Engagement Ring,"네 번째 손가락에 반지",Guard,"경호원",Late Night,"나지막한 대화 소리",Old Studio Apartment,"오후 9시",Quite Conversation,"원룸촌에 위치한 낡은 원룸",Metal Fragments,"금속 파편"
26,60s,"60대 중반",Charging Cable,"검은색 충전기 케이블",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Logo Printed Slider,"유명 브랜드 로고가 있는 슬리퍼",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Professor,"교수",Deep Dawn,"강아지 짖는 소리",Messy Dumpster Alley,"오전 3시",Dog Barking,"원룸촌의 더러운 분리수거장",Empty Cartridge,"탄피 몇 개"
27,40s,"40대 후반",Coca-cola Bottle,"350ml 코카콜라 병",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Cherry Red Hair,"체리 레드 염색머리",Charm Earrings,"장식이 있는 귀걸이",Director,"연출가",Night,"어디에선가 들려오는 희미한 음악 소리",Motel in Backstreet,"오후 6시",Hazy Music,"모텔촌에 위치한 낡은 모텔",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
28,40s,"40대 후반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Undershirt,"흰색 런닝 셔츠",Red Football Boots,"빨간색/검은색 배색의 축구화",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Mart Cashier,"마트 직원",Morning,"망치질 소리",Old Studio Apartment,"오전 9시",Hammering Sound,"원룸촌에 위치한 낡은 원룸",Crumpled Cigarette Package,"구겨진 담배갑"
29,70s,"70대 후반",Rusty Pickaxe,"녹슬고 손때가 탄 곡괭이",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Long Hippie Perm,"장발의 밝은 갈색 히피펌",Drop earrings,"아주 긴 드롭형 귀걸이",Cleaner,"청소부",Night,"맨발로 모래 밟는 소리",Motel in Downtown,"오후 6시",Sand Stepping Barefoot,"번화가에 위치한 빌딩 7층의 모텔",Arson Attempt,"방화 시도의 흔적"
30,40s,"40대 후반",Wrapped Knife,"신문지로 싼 식칼",White Shirt,"붉은색 넥타이와 흰색 와이셔츠",Knee High Wellies,"무릎까지 오는 고무 장화",Long Hair,"어깨선을 넘는 장발",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Mechanic,"정비공",Late Night,"턱 관절이 어긋나는 소리",Messy Goshiwon,"오후 9시",Twisting Jaw joint,"관리가 되지 않아 더러운 고시원",Excrements,"누가 쌌는지 모를 배설물"
31,30s,"30대 중반",Ivory Bowie Knife,"상아로 만든 손잡이가 달린 수집용 보위 나이프",Logo Printed Sweatshirt,"유명 브랜드 로고가 프린트되어 있는 회색 맨투맨",White Basketball Shoes,"흰색 농구화",High Ponytail,"장발을 높게 묶은 포니테일",Left Ear Pierced,"왼쪽 귀에 1개 이상의 피어싱",Director,"연출가",Late Night,"파이프를 벽에 부딪치는 소리",Back Seats,"오후 9시",Pipe Hitting Wall,"검정색 중형 세단의 뒷좌석",Chewed Gum,"구겨진 은박지에 싸인 씹던 껌"
32,20s,"20대 초반",Pry Bar,"쇠 지렛대",Long Sleeve Tshirt,"소매가 매우 긴 기장의 청록색 티셔츠",Red Football Boots,"빨간색/검은색 배색의 축구화",Pomade Hair,"잘 정돈된 포마드 머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Engineer,"연구원",Morning,"고양이 우는 소리",Office,"오전 9시",Cat Meow,"중소 기업 사옥의 7층 사무실",Fly,"파리 시체 한 마리"
33,50s,"50대 초반",Bass Guitar,"4kg는 되어 보이는 무거운 베이스 기타",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Suede Boat shoes,"갈색 스웨이드 보트슈즈",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Professor,"교수",Deep Dawn,"날붙이가 떨어지는 소리",Big Old Arboretum,"오전 3시",Cutlery Falling down,"개원한 지 30년 된 오래되고 넓은 수목원",Bullet,"총알 1개"
34,20s,"20대 초반",Wooden Cane,"원목으로 만들어진 나무 지팡이",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Engagement Ring,"네 번째 손가락에 반지",Soldier,"군인",Deep Dawn,"물병 안의 물이 흔들리는 소리",Female Outfit Outlet,"오전 3시",Water Shaking,"아울렛 몰의 3층 여성복 코너",Black Wig Hair,"검정색 가발용 머리카락"
35,20s,"20대 초반",Bottle of Propofol,"프로포폴 약병",Yellow Short Cardigan,"노란색 짧은 니트 가디건",Black Boots,"검은색 8홀 가죽 워커",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Electronics Anklet,"전자 발찌",Soldier,"군인",Morning,"바닥에 침을 뱉는 소리",Dormitory High School,"오전 9시",Spit On Ground,"기숙사가 있는 자율형 사립고등학교",Crumpled Cigarette Package,"구겨진 담배갑"
36,40s,"40대 후반",Glacial Acetic Acid,"종이컵에 가득 담긴 빙초산",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Brown Short Babyperm,"짙은 갈색의 짧은 베이비 펌 커트 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Hair Designer,"미용사",Around Midnight,"고양이 우는 소리",Messy Goshiwon,"밤 12시",Cat Meow,"관리가 되지 않아 더러운 고시원",Irregular Footprints,"알 수 없는 패턴의 발자국"
37,40s,"40대 후반",Broken Beer Bottle,"깨진 500ML 갈색 맥주병",Lace Blouse,"가슴 부분에 프릴이 달린 블라우스",Ivory Converse,"아이보리색 컨버스 운동화",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Charm Earrings,"장식이 있는 귀걸이",Mart Cashier,"마트 직원",Around Midnight,"목재 둔기가 떨어지는 소리",Rooftop Cafe,"밤 12시",Wooden Weapon Falling,"건물 하나를 통째로 쓰던 카페의 루프탑",Fingerprints,"지문 몇 점"
38,50s,"50대 초반",Bottle of Propofol,"프로포폴 약병",Purple Short Cardigan,"짙은 보라색의 짧은 니트 가디건",Red Converse,"빨간색 컨버스 운동화",Pomade Hair,"잘 정돈된 포마드 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Chef,"요리사",Late Night,"TV 속 스포츠 방송 중계 소리",Female Outfit Outlet,"오후 9시",TV Sports Commentaries,"아울렛 몰의 3층 여성복 코너",Body Hair,"체모"
39,30s,"30대 중반",Wrapped Blowfish Sashimi,"포장된 복어회",Undershirt,"흰색 런닝 셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Bob Hair,"단발",Black Backpack,"검은색 백팩",Cleaner,"청소부",Early Morning,"물이 흐르는 소리",Messy Club,"오전 6시",Water Flowing Sound,"사람이 너무 많았던 지저분한 클럽",Nail Tips,"네일팁 몇 개"
40,20s,"20대 초반",Thick Rubber Wire,"검은색 두꺼운 전선",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Black Low Sneakers,"검은색 낮은 운동화",Mid-long Straight Hair,"중단발의 검은 생머리",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Athletic Trainer,"스포츠 트레이너",Morning,"나지막한 대화 소리",Cafe Terrace,"오전 9시",Quite Conversation,"1층 프랜차이즈 카페의 테라스",Body Hair,"체모"
41,30s,"30대 중반",Green Utility Knife,"초록색 문구용 커터칼",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Pixie Cut,"앞머리가 있는 단정한 숏컷",Engagement Ring,"네 번째 손가락에 반지",Director,"연출가",Morning,"손 관절을 꺾는 소리",Big Old Arboretum,"오전 9시",Crack Knuckles,"개원한 지 30년 된 오래되고 넓은 수목원",Metal Fragments,"금속 파편"
42,30s,"30대 중반",Black Tea,"홍차",Cotton Zip Hoodie,"면 소재 트레이닝복",Blue Football Boots,"파란색/노란색 배색의 축구화",High Ponytail,"장발을 높게 묶은 포니테일",Black Backpack,"검은색 백팩",Athlete,"운동선수",Late Night,"헬리콥터 프로펠러 소리",PC cafe,"오후 9시",Propeller Sound,"중학교 앞 건물 2층의 최신식 PC방",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
43,60s,"60대 중반",Old Striped Tie,"헤진 파란색 줄무늬 넥타이",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Black Converse,"검은색 컨버스 운동화",Long Hair,"어깨선을 넘는 장발",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Actor,"배우",Late Night,"손 관절을 꺾는 소리",Female Outfit Outlet,"오후 9시",Crack Knuckles,"아울렛 몰의 3층 여성복 코너",Skid Mark,"타이어 자국"
44,30s,"30대 중반",Wooden Handle Hatchet,"나무 손잡이가 달린 캠핑용 도끼",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",Blue Football Boots,"파란색/노란색 배색의 축구화",Long Hair,"어깨선을 넘는 장발",Drop earrings,"아주 긴 드롭형 귀걸이",Athlete,"운동선수",Early Morning,"이를 가는 소리",Inside Taxi,"오전 6시",Grind one`s Teeth,"택시 안",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
45,30s,"30대 중반",Pry Bar,"쇠 지렛대",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",White Platform Sneakers,"키높이 흰색 스니커즈",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Engagement Ring,"네 번째 손가락에 반지",Sanitation Worker,"환경미화원",Night,"자동차 브레이크 소리",Underground Grocery Store,"오후 6시",Skid Sounds,"프랜차이즈 대형 마트 지하 1층 식품 코너",Lipstick Stained Cigarette,"립스틱이 묻은 담배꽁초"
46,40s,"40대 후반",Charging Cable,"검은색 충전기 케이블",Black Hiking Jacket,"검은색/회색 배색의 등산복",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",High Ponytail,"장발을 높게 묶은 포니테일",Drop earrings,"아주 긴 드롭형 귀걸이",Engineer,"연구원",Morning,"돈 세는 소리",Inside Camping Car,"오전 9시",Counting Money,"커스텀 캠핑카 안",Scorch Mark,"불에 그슬린 자국"
47,30s,"30대 중반",Walther PPK .32ACP,"장식용 32구경 PPK 독일제",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",White Platform Sneakers,"키높이 흰색 스니커즈",Long Curly Hair,"장발의 곱슬머리",Drop earrings,"아주 긴 드롭형 귀걸이",Mechanic,"정비공",Late Night,"삽으로 흙을 파는 소리",Broken Street Lamp,"오후 9시",Digging With Shovel,"고장난 가로등이 있는 골목길",Lipstick Stained Cigarette,"립스틱이 묻은 담배꽁초"
48,30s,"30대 중반",Surgical Blade,"날카로운 의료용 메스",Lace Blouse,"가슴 부분에 프릴이 달린 블라우스",Black Low Sneakers,"검은색 낮은 운동화",Pomade Hair,"잘 정돈된 포마드 머리",Black Backpack,"검은색 백팩",Mart Cashier,"마트 직원",Night,"나지막한 대화 소리",Passenger Seat,"오후 6시",Quite Conversation,"검정색 중형 세단의 조수석",Black Wig Hair,"검정색 가발용 머리카락"
49,40s,"40대 후반",Yellow Box Cutter,"노란색 공업용 커터칼",Lace Blouse,"가슴 부분에 프릴이 달린 블라우스",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",High Ponytail,"장발을 높게 묶은 포니테일",Thick Glasses,"눈이 잘 보이지 않는 뿔테 안경",Model,"모델",Night,"가방 안 물건들이 흔들리는 소리",Old DVD room,"오후 6시",Backpack Stuff Shaking,"오래된 건물 3층에 있는 DVD방",Written In Blood,"핏자국으로 그린 표식"
50,30s,"30대 중반",Submachine Gun K16,"기관단총 K16",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Tennis Wristband,"스포츠 손목 보호대",Hair Designer,"미용사",Early Morning,"삽으로 흙을 파는 소리",Semi Basement Apartment,"오전 6시",Digging With Shovel,"쇠창살 달린 창문이 있는 반지하 원룸",Used Toilet Paper,"사용한 휴지 몇 장"
51,30s,"30대 중반",Sharp Edged Stone,"1kg 정도의 뾰족한 돌",Pilot Bomber Jacket,"비닐 재질의 남색 항공 점퍼",Black Converse,"검은색 컨버스 운동화",Bald Hair,"대머리",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Police Officer,"경찰",Deep Dawn,"물이 흐르는 소리",New Guest House,"오전 3시",Water Flowing Sound,"바닷가에 위치한, 청년들이 운영하는 게스트 하우스",Body Hair,"체모"
52,50s,"50대 초반",Rusty Hammer,"검은색 고무 손잡이가 달린 녹슨 쇠 망치",Stripe Tshirt,"푸른색/흰색 스트라이프 반팔 셔츠",Knee High Wellies,"무릎까지 오는 고무 장화",Pomade Hair,"잘 정돈된 포마드 머리",Nose Piercing,"코 피어싱",Mart Cashier,"마트 직원",Deep Dawn,"변기 물 내리는 소리",Hostel (Normal Dorm),"오전 3시",Toilet Flush Sound,"세계 각국의 여행자가 머무르는 호스텔",Light Brown Hair,"밝은 갈색의 머리카락"
53,20s,"20대 초반",Walther PPK .32ACP,"장식용 32구경 PPK 독일제",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",White Basketball Shoes,"흰색 농구화",Bald Hair,"대머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Soldier,"군인",Night,"불경 읊는 소리",Officetel Management Office,"오후 6시",Reading Buddhist Text,"오피스텔 관리실",Maggot,"이제 막 태어난 작은 구더기"
54,20s,"20대 초반",Potassium Cyanide,"청산가리",Duck Patch Hoodie,"소매에 노란색 오리 패치가 박힌 후드집업",Brown Leather Loafer,"연갈색 무광 가죽 로퍼",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Charm Earrings,"장식이 있는 귀걸이",Mechanic,"정비공",Morning,"고기 굽는 소리",Room Cafe,"오전 9시",Grill the Meat,"대학교 앞에 위치한 룸카페",Weapon Without Fingerprint,"지문이 발견되지 않은 그 흉기"
